ACCOUNT_NUMBER,BILL_MONTH_YEAR,INVOICE_DATE,BILL_PERIOD,INVOICE_NUMBER,ORG_NAME1,ORG_NAME2,ACCOUNT_NAME,SERVICE_ADDRESS,MAILING_ADDRESS,DAYS_BILLED,DUE_DATE,LPC,TOTAL_ELECTRIC,TOTAL_GAS,TOTAL_OTHER,SALES_TAX,TOTAL_DUE,PDF_FILENAME,PDF_BEGIN,PDF_END,CREATE_DATE,CREATE_TIME,EN_INV_TOTALS,EN_PDF_TOTALS,SD_INV_TOTALS,SD_PDF_TOTALS,DISCOUNT_AMOUNT,CATEGORY_COL,TOTAL_KWH_COL,ONPEAK_ENERGY_COL,OFFPEAK_ENERGY_COL,PSCR_COL,ENERGY_COL,STANDBY_COL,DISTRIBUTION_COL,TOTAL_GEN_KWH_COL,EL_ENERGY_COL,PO_ENERGY_COL,DEMAND_COL,HIST_MAX_KW_COL,CURR_MAX_KW_COL,ONPEAK_DEMAND_COL,MAX_DEMAND_COL,ONPEAK_STANDBY_COL,CAPACITY_COL,RESERVED_COL,CONTRACT_CAPACITY_COL,SUBSTATION_COL,POWER_COL,CUST_VOLTAGE_COL,METERED_ENERGY_COL,EST_ENERGY_COL,TOTAL_USAGE_COL,CORR_FACTOR_COL,EXCESS_DEMAND_COL,GAS_USAGE_COL,TRANSPORTATION_COL,SURCHARGE_COL,UNAUTH_USE_COL,LOAD_BALANCE_COL,RATE_DESC_COL,NO_LIGHTS_COL
1.00006E+11,Feb-24,2/20/2024,01/18/24 - 02/14/24,2.03233E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,28,3/12/2024,,,344.52,0,20.67,365.19,2024_2_20_energy_vol36.pdf,882,883,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,40.8,0,40.8,1,0,0,0,0,0,0,,
1.00006E+11,Mar-24,3/20/2024,02/15/24 - 03/14/24,2.01987E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,4/10/2024,,,270.9,0,16.25,287.15,2024_3_20_energy_vol20.pdf,496,497,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,31.9,0,31.9,1,0,0,0,0,0,0,,
1.00006E+11,Apr-24,4/19/2024,03/15/24 - 04/15/24,2.01631E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,32,5/10/2024,,,279.49,0,16.77,296.26,2024_4_19_energy_vol38.pdf,746,747,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,32.3,0,32.3,1,0,0,0,0,0,0,,
1.00006E+11,May-24,5/20/2024,04/16/24 - 05/14/24,2.035E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,6/10/2024,5.59,,129.35,296.26,7.76,438.96,2024_5_18_energy_vol11.pdf,541,542,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,14.2,0,14.2,1,0,0,0,0,0,0,,
1.00006E+11,Jun-24,6/20/2024,05/15/24 - 06/13/24,2.01987E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,30,7/11/2024,8.18,,94.09,438.96,5.65,546.88,2024_6_19_energy_vol45.pdf,286,287,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,9.8,0,9.8,1,0,0,0,0,0,0,,
1.00006E+11,Jul-24,7/19/2024,06/14/24 - 07/16/24,2.02788E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,33,8/9/2024,10.06,,52.28,546.88,3.14,612.36,2024_7_19_energy_vol31.pdf,775,776,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,4.5,0,4.5,1,0,0,0,0,0,0,,
1.00006E+11,Aug-24,8/19/2024,07/17/24 - 08/15/24,2.03233E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,30,9/9/2024,,,52.43,-612.36,3.15,-556.78,2024_8_17_energy_vol4.pdf,604,605,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,4.6,0,4.6,1,0,0,0,0,0,0,,
1.00006E+11,Sep-24,9/18/2024,08/16/24 - 09/13/24,2.04746E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,29,10/9/2024,,,82.3,-556.78,4.94,-469.54,2024_9_18_energy_vol15.pdf,137,138,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,8.5,0,8.5,1,0,0,0,0,0,0,,
1.00006E+11,Oct-24,10/17/2024,09/14/24 - 10/11/24,2.01988E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,28,11/7/2024,,,92.34,-469.54,5.54,-371.66,2024_10_17_energy_vol3.pdf,389,390,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,9.6,0,9.6,1,0,0,0,0,0,0,,
1.00006E+11,Nov-24,11/19/2024,10/12/24 - 11/13/24,2.04568E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,33,12/10/2024,,,153.64,-371.66,9.22,-208.8,2024_11_19_energy_vol20.pdf,313,314,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,16.7,0,16.7,1,0,0,0,0,0,0,,
1.00006E+11,Dec-24,12/19/2024,11/14/24 - 12/13/24,2.03501E+11,MSU STUDENT HOUSING CO OP INC,,C/O MSO SHC,"236 N HARRISON RD,EAST LANSING MI 48823-4141,",MSU STUDENT HOUSING CO OP INC 236 N HARRISON RD EAST LANSING MI 48823-4141,30,1/9/2025,,,332.24,-208.8,19.93,143.37,2024_12_19_energy_vol44.pdf,1004,1005,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,39.5,0,39.5,1,0,0,0,0,0,0,,
